batter,BB_rate,K_rate,wOBA,wRCplus
572041,0.063,0.216,0.345,117
543305,0.155,0.236,0.337,112
592450,0.132,0.308,0.381,140
647351,0.065,0.226,0.263,65
609275,0.044,0.299,0.300,84
594807,0.065,0.274,0.353,117
594809,0.093,0.166,0.330,101
641553,0.050,0.284,0.310,94
624428,0.068,0.131,0.312,92
656514,0.063,0.231,0.308,88
430945,0.059,0.191,0.308,87
608365,0.083,0.241,0.297,81
588751,0.063,0.211,0.303,87
546991,0.048,0.179,0.267,62
405395,0.073,0.131,0.302,88
664761,0.089,0.200,0.381,139
649557,0.088,0.131,0.338,115
488671,0.179,0.342,0.319,95
608324,0.164,0.125,0.403,159
543105,0.081,0.200,0.366,130
460086,0.084,0.168,0.309,89
657077,0.072,0.157,0.349,118
642708,0.044,0.197,0.311,95
592743,0.058,0.096,0.295,83
665926,0.053,0.212,0.321,104
643217,0.105,0.235,0.323,96
595284,0.133,0.281,0.315,93
457705,0.129,0.205,0.343,112
623205,0.109,0.356,0.206,24
621532,0.069,0.293,0.239,47
543685,0.134,0.133,0.408,154
519203,0.116,0.145,0.372,131
623993,0.051,0.195,0.333,109
606157,0.078,0.278,0.345,110
452678,0.105,0.197,0.328,97
664119,0.068,0.340,0.231,42
605131,0.104,0.231,0.282,76
621573,0.061,0.250,0.283,76
669720,0.072,0.182,0.343,116
595978,0.077,0.307,0.240,47
640457,0.096,0.244,0.361,131
543592,0.091,0.215,0.343,119
663586,0.064,0.312,0.307,87
519222,0.037,0.259,0.293,80
596103,0.128,0.274,0.346,117
541645,0.069,0.236,0.323,104
592325,0.110,0.296,0.309,89
450314,0.131,0.136,0.303,85
571740,0.087,0.242,0.244,45
641856,0.068,0.262,0.295,82
666182,0.056,0.226,0.372,134
543543,0.117,0.267,0.358,124
474832,0.142,0.205,0.343,115
543063,0.090,0.218,0.295,83
641525,0.051,0.323,0.298,82
592273,0.054,0.246,0.260,58
664040,0.091,0.310,0.367,136
607043,0.165,0.238,0.362,130
663898,0.039,0.324,0.207,8
458731,0.110,0.202,0.341,114
621433,0.130,0.275,0.261,59
605119,0.088,0.240,0.344,117
572821,0.124,0.221,0.324,96
571718,0.088,0.294,0.325,103
435263,0.098,0.168,0.311,88
571788,0.092,0.202,0.312,90
592407,0.080,0.185,0.297,86
668804,0.089,0.236,0.345,114
547180,0.160,0.239,0.374,132
605490,0.050,0.318,0.237,41
457763,0.076,0.160,0.298,84
621439,0.049,0.242,0.342,113
543068,0.069,0.223,0.330,104
595956,0.084,0.193,0.309,90
457727,0.100,0.262,0.346,116
621043,0.094,0.229,0.351,125
471865,0.108,0.313,0.254,52
467793,0.165,0.160,0.362,125
608348,0.109,0.219,0.323,97
666198,0.127,0.297,0.257,54
624415,0.161,0.265,0.347,118
656775,0.053,0.225,0.263,62
514917,0.074,0.169,0.321,97
527049,0.076,0.253,0.330,107
640461,0.058,0.234,0.298,88
595453,0.088,0.235,0.295,85
642082,0.122,0.320,0.325,103
453568,0.067,0.168,0.374,118
518586,0.040,0.318,0.300,81
605508,0.064,0.242,0.256,56
596144,0.057,0.202,0.286,74
448801,0.103,0.383,0.248,50
455104,0.110,0.329,0.303,71
572008,0.071,0.371,0.221,27
621035,0.100,0.271,0.342,115
624414,0.081,0.261,0.305,90
543877,0.069,0.203,0.335,105
572233,0.102,0.242,0.344,111
592885,0.152,0.235,0.412,156
621514,0.076,0.258,0.281,71
640449,0.101,0.281,0.355,124
641355,0.138,0.166,0.394,149
657061,0.055,0.258,0.251,53
592567,0.070,0.240,0.322,99
572816,0.063,0.186,0.341,113
608369,0.079,0.175,0.356,125
605486,0.059,0.353,0.267,61
592200,0.119,0.267,0.332,102
434158,0.113,0.270,0.275,71
621466,0.134,0.252,0.323,102
518614,0.119,0.294,0.238,42
502517,0.064,0.156,0.313,78
621002,0.103,0.249,0.281,76
596129,0.161,0.262,0.330,108
643376,0.098,0.207,0.282,73
664901,0.045,0.234,0.297,87
542454,0.056,0.305,0.338,103
621020,0.090,0.241,0.327,100
573131,0.130,0.230,0.379,140
662139,0.104,0.287,0.287,76
623520,0.122,0.265,0.328,102
621311,0.063,0.270,0.334,91
664058,0.085,0.101,0.326,104
501896,0.124,0.237,0.415,162
444482,0.075,0.206,0.336,106
608475,0.030,0.201,0.270,63
543829,0.046,0.147,0.273,71
592261,0.089,0.244,0.292,72
518618,0.097,0.249,0.338,107
605233,0.136,0.330,0.296,84
451594,0.124,0.252,0.323,101
544369,0.055,0.139,0.318,97
518934,0.073,0.127,0.388,146
570267,0.107,0.320,0.318,101
642086,0.083,0.225,0.390,148
456781,0.046,0.204,0.351,120
572863,0.109,0.252,0.307,93
596105,0.071,0.218,0.298,84
666185,0.067,0.294,0.264,65
664238,0.088,0.308,0.324,106
592696,0.050,0.146,0.330,105
500871,0.071,0.186,0.321,95
456488,0.023,0.153,0.236,37
658668,0.040,0.248,0.275,70
429665,0.111,0.235,0.338,113
621458,0.094,0.281,0.396,152
501303,0.092,0.187,0.305,89
553869,0.069,0.175,0.268,60
650391,0.058,0.260,0.353,123
462101,0.055,0.146,0.293,73
542255,0.105,0.183,0.287,74
571771,0.069,0.211,0.299,86
543333,0.060,0.232,0.318,98
519299,0.086,0.146,0.322,101
519346,0.109,0.304,0.336,106
570481,0.049,0.252,0.262,60
553993,0.112,0.287,0.368,125
446334,0.075,0.211,0.318,98
657108,0.089,0.416,0.261,66
665487,0.091,0.272,0.396,149
465041,0.095,0.248,0.304,87
596019,0.076,0.151,0.342,111
642336,0.049,0.227,0.292,81
614177,0.090,0.285,0.339,110
518692,0.138,0.172,0.406,151
520471,0.055,0.234,0.308,89
643265,0.079,0.255,0.343,117
641658,0.072,0.290,0.291,64
596142,0.093,0.303,0.324,102
666158,0.086,0.285,0.282,76
543807,0.117,0.194,0.394,154
467827,0.063,0.196,0.288,74
519317,0.163,0.307,0.379,141
570482,0.066,0.172,0.368,132
650402,0.092,0.205,0.352,121
493596,0.054,0.283,0.274,66
606988,0.057,0.323,0.238,42
656185,0.049,0.219,0.273,64
594824,0.135,0.228,0.307,90
570256,0.073,0.334,0.268,64
628338,0.079,0.258,0.291,83
593643,0.027,0.102,0.313,95
605612,0.033,0.229,0.302,85
623912,0.042,0.204,0.306,92
664056,0.111,0.296,0.304,89
541650,0.044,0.270,0.268,61
435062,0.072,0.140,0.379,133
600858,0.059,0.207,0.221,30
641531,0.106,0.254,0.352,119
452254,0.078,0.226,0.347,110
592669,0.095,0.302,0.310,94
435622,0.071,0.247,0.328,87
664023,0.116,0.264,0.368,130
435079,0.068,0.192,0.277,70
545121,0.042,0.128,0.286,73
670623,0.074,0.222,0.255,56
656371,0.085,0.296,0.240,48
643396,0.062,0.180,0.290,75
605204,0.101,0.224,0.362,129
502110,0.105,0.220,0.361,122
641487,0.105,0.194,0.298,89
592663,0.072,0.217,0.345,113
595375,0.034,0.264,0.225,38
607054,0.124,0.260,0.289,77
608686,0.027,0.268,0.205,26
598265,0.101,0.259,0.324,98
607732,0.088,0.227,0.302,86
592444,0.077,0.290,0.323,100
641343,0.106,0.272,0.296,80
595909,0.074,0.328,0.326,103
630105,0.094,0.156,0.356,125
571875,0.123,0.246,0.292,78
545350,0.051,0.298,0.307,93
668670,0.102,0.398,0.216,26
543510,0.065,0.284,0.341,115
665120,0.056,0.256,0.334,110
502481,0.098,0.187,0.269,62
488771,0.123,0.330,0.319,98
518792,0.127,0.191,0.337,108
543401,0.090,0.200,0.306,87
595879,0.044,0.290,0.320,97
457803,0.060,0.243,0.313,94
516416,0.063,0.141,0.320,96
576397,0.102,0.263,0.296,83
425772,0.064,0.356,0.202,12
643446,0.071,0.128,0.378,139
600869,0.106,0.250,0.314,94
608385,0.116,0.187,0.365,124
542583,0.113,0.207,0.322,101
596847,0.133,0.228,0.341,117
666176,0.053,0.417,0.212,29
592626,0.094,0.222,0.348,119
605412,0.100,0.117,0.287,77
663698,0.027,0.369,0.271,69
608336,0.155,0.369,0.356,119
572073,0.097,0.262,0.285,75
458015,0.136,0.200,0.336,104
621563,0.054,0.183,0.299,90
622666,0.056,0.208,0.273,64
543308,0.039,0.327,0.259,56
571974,0.075,0.421,0.239,44
542932,0.108,0.252,0.330,108
445055,0.046,0.176,0.257,57
641505,0.062,0.271,0.269,65
518960,0.082,0.155,0.286,75
570731,0.044,0.242,0.328,104
542340,0.087,0.250,0.320,99
656669,0.127,0.227,0.360,123
474568,0.051,0.201,0.308,89
595751,0.046,0.336,0.305,91
593528,0.052,0.287,0.285,76
593871,0.078,0.162,0.337,110
624585,0.108,0.279,0.369,130
547989,0.057,0.221,0.363,130
514888,0.077,0.160,0.347,122
578428,0.034,0.128,0.329,101
592530,0.061,0.278,0.287,83
500874,0.096,0.231,0.307,92
591741,0.060,0.174,0.309,90
606299,0.042,0.145,0.272,62
608070,0.104,0.147,0.360,124
602922,0.070,0.242,0.241,47
624431,0.029,0.201,0.285,71
605137,0.115,0.212,0.354,120
518626,0.155,0.235,0.375,131
658069,0.019,0.308,0.302,71
543281,0.050,0.164,0.257,54
647304,0.078,0.198,0.298,84
572033,0.044,0.183,0.286,80
502210,0.074,0.142,0.307,94
668942,0.110,0.251,0.257,54
642165,0.106,0.236,0.294,77
501571,0.077,0.263,0.258,60
665742,0.174,0.187,0.412,156
628356,0.059,0.324,0.256,55
595777,0.088,0.143,0.311,96
571506,0.100,0.306,0.267,63
475253,0.141,0.234,0.311,93
457759,0.095,0.157,0.371,134
457708,0.102,0.287,0.307,92
434778,0.129,0.129,0.264,63
542979,0.088,0.456,0.229,39
669374,0.069,0.323,0.353,118
606466,0.073,0.130,0.384,137
607345,0.084,0.193,0.314,96
595281,0.072,0.228,0.288,82
621028,0.057,0.118,0.318,96
607680,0.036,0.150,0.309,89
608700,0.065,0.171,0.307,88
501981,0.090,0.272,0.288,82
