Name,Hard_Hit,Max_EV
Cristian Pache,0.36,105
Dylan Carlson,0.34,105
Riley Greene,0.35,106
Jeter Downs,0.38,106
Jeremy Pena,0.37,105
Oswald Peraza,0.35,106
Tyler Stephenson,0.4,106
Luis Matos,0.38,106
Orelvis Martinez,0.27,105
Gabriel Moreno,0.34,106
Liover Peguero,0.42,105
Jacob Amaya,0.4,105
Kevin Alcantara,0.3,106
Mark Vientos,0.47,105
Gabriel Arias,0.36,106
Greg Jones,0.34,106
Jonathan India,0.35,106
Tyler Callihan,0.37,105
Diego Cartaya,0.3,105
Alex De Jesus,0.42,106
Jarren Duran,0.37,106
Ivan Johnson,0.33,105
Matt Wallner,0.4,105
Oswaldo Cabrera,0.4,105
Jose Rodriguez,0.33,106
Allan Cerda,0.44,106
James Outman,0.37,106
Jose Tena,0.24,106
Kevin Smith,0.41,106
Travis Blankenhorn,0.51,106
Connor Wong,0.39,106
Bryan Ramos,0.33,106
Blake Rutherford,0.46,106
Mariel Bautista,0.31,105
Devin Mann,0.42,105
Tanner Morris,0.25,105
Seth Gray,0.3,105
Charles Mack,0.26,105
Marcus Wilson,0.43,106
Albert Feliz,0.45,105
Madison Santos,0.36,106
Luis Mieses,0.33,106
